SampleID,PC1,PC2,Type
GSM1116084,-79.66902188030485,7.116174160340154,Cancer
GSM1116085,-52.635209455192275,-0.3238326204235212,Cancer
GSM1116086,8.377111668743986,-33.71455239582999,Cancer
GSM1116087,-90.17916391175694,43.090301098275305,Cancer
GSM1116088,-31.161895794678443,-28.206564597773855,Cancer
GSM1116089,8.026819171756587,-32.10304256627505,Cancer
GSM1116090,-40.6533023533009,-7.191926076387995,Cancer
GSM1116091,-50.5086654177972,-14.633445853778499,Cancer
GSM1116092,-34.81586676224691,17.041726525819943,Cancer
GSM1116093,-47.66846253818024,9.119008019352801,Cancer
GSM1116094,-40.39317489822257,-18.102349029680152,CancerGSM1116095,-9.057089847332028,-39.778309546567684,Cancer
GSM1116096,-35.55536764923664,-12.90008261803303,Cancer
GSM1116097,0.00569810536883246,-37.37006246605642,Cancer
GSM1116098,-23.127938536891143,-50.11920777253087,Cancer
GSM1116099,-51.32992971165537,-19.58950740988323,Cancer
GSM1116100,-0.3382653759266329,-25.44424388210093,Cancer
GSM1116101,-52.45691766975009,-11.080280853423066,Cancer
GSM1116102,-27.693796687467135,-3.1053906399093965,Cancer
GSM1116103,-11.989974736659772,-32.84203575809611,Cancer
GSM1116104,-20.76986518255663,-53.29548266328461,Cancer
GSM1116105,-3.435897474788397,-26.344401472465943,Cancer
GSM1116106,-30.971124671913184,17.063062765164897,Cancer
GSM1116107,26.60372115089455,-32.928947563561415,Cancer
GSM1116108,-31.431693890019098,-17.90579406594424,Cancer
GSM1116109,-52.12907246125112,-22.321309693235403,Cancer
GSM1116110,-36.77516133992113,7.423551825292988,Cancer
GSM1116111,-47.67536653344006,41.06632755695194,Cancer
GSM1116112,-18.6205255110914,33.06364029155212,Cancer
GSM1116113,-58.70370831512125,15.491281853176044,Cancer
GSM1116114,-26.107796243154425,-8.792865061719835,Cancer
GSM1116115,-29.054609703958786,-7.149364727202742,Cancer
GSM1116116,-17.686883896033386,-9.799395305752476,Cancer
GSM1116117,-12.893251174240246,-13.380170150809532,Cancer
GSM1116118,-73.82403420287385,15.569014494140678,Cancer
GSM1116119,-2.2103068044061533,-25.52413589884518,Cancer
GSM1116120,-86.39082326110525,0.8718522058681084,Cancer
GSM1116121,-13.99144303495017,-46.00123985970802,Cancer
GSM1116122,11.731809791041117,-46.03136466647986,Cancer
GSM1116123,-3.3083959967293257,-32.30254251719939,Cancer
GSM1116124,-44.23437408999456,-28.845932855761127,Cancer
GSM1116125,-34.0292494979177,-10.649334404082996,Cancer
GSM1116126,-40.428060055432645,-10.535781134192602,Cancer
GSM1116127,20.65919639955143,1.3716322951879392,Cancer
GSM1116128,-26.1554494103462,17.01600894157503,Cancer
GSM1116129,10.519858548872136,-38.84090898375001,Cancer
GSM1116130,-42.231598688070065,-22.99321801368878,Cancer
GSM1116131,-56.572408604203225,13.770898676698899,Cancer
GSM1116132,-19.38302592472246,-22.100919999317018,Cancer
GSM1116133,-5.066068657611686,-24.452782988736516,Cancer
GSM1116134,2.5628469268396694,-19.873381691431025,Cancer
GSM1116135,-27.554336761869816,-3.237317578211593,Cancer
GSM1116136,-41.101200517366806,-17.74854981730259,Cancer
GSM1116137,16.277888708665945,-11.248691236068169,Cancer
GSM1116138,-34.59705664115616,40.86817915136676,Cancer
GSM1116139,-53.51183511392469,31.184559701796584,Cancer
GSM1116140,18.787947069139403,5.4916666328845265,Cancer
GSM1116141,-57.379941360482846,4.86399227134671,Cancer
GSM1116142,-19.07694160943137,12.332643102707008,Cancer
GSM1116143,-40.792383830199455,19.070110482985648,Cancer
GSM1116144,-1.4101963654887397,8.371103512124094,Cancer
GSM1116145,-39.47483101882972,9.034754648065274,Cancer
GSM1116146,-12.733228826404833,6.8604311616332,Cancer
GSM1116147,-28.097750888990486,-6.720562074488496,Cancer
GSM1116148,-44.298542765879304,26.22194566544477,Cancer
GSM1116149,-17.440564519704857,20.815064160811612,Cancer
GSM1116150,-38.17000673142512,38.84358050152912,Cancer
GSM1116151,14.550483502544674,-25.121893822362722,Cancer
GSM1116152,29.221138397329465,-15.10928549208508,Cancer
GSM1116153,-10.570372191997285,-11.045030745701956,Cancer
GSM1116154,-16.119921575113853,-32.82703065568775,Cancer
GSM1116155,-153.49335874172877,77.10632273324585,Cancer
GSM1116156,-135.9495600002814,61.2418878367496,Cancer
GSM1116157,-106.8389949577225,72.96930869217736,Cancer
GSM1116158,-131.12973058785772,77.0463959859278,Cancer
GSM1116159,-133.96664931833743,88.75611255697962,Cancer
GSM1116160,-135.30108077485824,74.43830501780715,Cancer
GSM1116161,-130.572358343529,53.85172000791485,Cancer
GSM1116162,-121.69641427893411,74.43175521518413,Cancer
GSM1116163,-154.30993276038436,67.62441594712043,Cancer
GSM1116164,-109.16695280694071,83.41074564721622,Cancer
GSM1116165,-139.93888451075682,90.00424806072066,Cancer
GSM1116166,-108.07715015361049,75.2284923964457,Cancer
GSM1116167,-139.0499109191989,84.2258190430502,Unclassified
GSM1116168,-123.97715092323706,96.18140976429741,Unclassified
GSM1116169,176.72862984966946,202.78759898236413,Normal
GSM1116170,161.32467676927868,187.0691757541921,Normal
GSM1116171,106.88329204156258,87.84518852027931,Normal
GSM1116172,99.23312186598153,47.34832489644328,Normal
GSM1116173,129.98400723858478,83.1963760709163,Normal
GSM1116174,139.67319071696687,127.42814189524556,Normal
GSM1116175,120.37693338220348,97.79080179550239,Normal
GSM1116176,157.9768835502853,193.05283975010963,Normal
GSM1116177,117.23926167557278,94.3996950121005,Normal
GSM1116178,131.0487235162001,125.91493384853254,Normal
GSM1116179,162.63392570565864,193.08863655080867,Normal
GSM1116180,46.69636702558241,-54.33893453206459,Cancer
GSM1116181,51.57904355043596,-38.55046374684673,Cancer
GSM1116182,59.53379090612569,11.645952681405753,Cancer
GSM1116183,-21.43579240108076,-56.025540231847,Cancer
GSM1116184,51.574028974981054,-35.7099404416178,Cancer
GSM1116185,17.447984082208883,-14.898202341398374,Cancer
GSM1116186,15.428535005652625,-32.18538692739484,Cancer
GSM1116187,39.6658443006734,-51.123885540720536,Cancer
GSM1116188,28.192598495419436,-33.97540216293587,Cancer
GSM1116189,-18.008405154327253,-32.50397995179688,Cancer
GSM1116190,48.989493677577634,-41.66517369229435,Cancer
GSM1116191,32.336558441838285,-25.114059409224463,Cancer
GSM1116192,66.0422461307495,-20.31107523162067,Cancer
GSM1116193,27.9353278002083,-28.156640948564156,Cancer
GSM1116194,54.82331146001565,-41.604401411239635,Cancer
GSM1116195,47.66061026071468,-45.27742835838085,Cancer
GSM1116196,25.80762630150455,-31.48809422114404,Cancer
GSM1116197,40.907389587749144,-16.210550909036662,Cancer
GSM1116198,64.9662159101367,33.037309268650986,Cancer
GSM1116199,57.20613270965919,-29.17846598811848,Cancer
GSM1116200,61.62013608460221,-41.24937026335165,Cancer
GSM1116201,30.875482518975847,-35.91002117640141,Cancer
GSM1116202,32.662079098349324,-47.14444675223224,Cancer
GSM1116203,70.08812072719208,-19.22354959284018,Cancer
GSM1116204,44.68222211150678,-22.770910523643078,Cancer
GSM1116205,52.329299689128796,-48.834094504657266,Cancer
GSM1116206,13.639900598603171,-53.124792315519805,Cancer
GSM1116207,-2.3127016529221507,-25.669114318449974,Cancer
GSM1116208,47.356858181732456,-39.023439788059875,Cancer
GSM1116209,50.53495725791117,-41.27002851127466,Cancer
GSM1116210,23.201845940544825,-38.13400786199183,Cancer
GSM1116211,33.84751575456537,-29.82428652901486,Cancer
GSM1116212,3.733232818875128,-26.05434770966673,Cancer
GSM1116213,56.13568176299775,-51.65328539895497,Cancer
GSM1116214,-3.9428880507101143,-52.93811683410624,Cancer
GSM1116215,43.60206668096176,-12.643460850823804,Cancer
GSM1116216,36.8612221369903,-58.93089209751584,Cancer
GSM1116217,33.28437816075693,-45.97065976708887,Cancer
GSM1116218,-21.817971643894577,-44.48088565063301,Cancer
GSM1116219,19.742415588759968,-50.52788631532995,Cancer
GSM1116220,73.63713385775671,8.02433209193861,Cancer
GSM1116221,92.51235735441202,-25.200037263870183,Cancer
GSM1116222,26.17334543668398,-50.89958446496133,Cancer
GSM1116223,52.66342265247145,-11.001883222814886,Cancer
GSM1116224,81.32336576031592,-9.806688184040032,Cancer
GSM1116225,48.0691503916473,-34.35306881235692,Cancer
GSM1116226,12.441508415200245,-45.9798778112893,Cancer
GSM1116227,38.743307061407975,-40.54083720152649,Cancer
GSM1116228,32.38781164592986,-70.03080148067943,Cancer
GSM1116229,24.407155045191992,-23.371384047627423,Cancer
GSM1116230,51.586953469889856,24.697790652501563,Cancer
GSM1116231,46.02209030652579,-41.02858403826485,Cancer
GSM1116232,84.62013658518403,-47.626687748200425,Cancer
GSM1116233,0.05806893730920695,-38.20521863343447,Cancer
GSM1116234,41.05323895295274,-47.99358424515004,Cancer
GSM1116235,42.794507482803475,-56.770957485938496,Cancer
GSM1116236,-6.133164321586024,-26.53249542313224,Cancer
GSM1116237,22.54390974107962,-41.78692759805912,Cancer
GSM1116238,20.307252289454045,-22.420238682945648,Cancer
